station,latitude,longitude,height,source
YCIG,36.0527821000,129.0400141300,200.1110,cors_20260818113354.xls
YCHG,35.9808747500,129.1064300900,175.1497,cors_20260818113354.xls
YECH,36.6514589400,128.4463376700,136.6880,cors_20260818113354.xls
ULDO,37.5380996400,130.9069844200,331.6533,cors_20260818113354.xls
WOLS,35.5039467200,129.4160148300,95.9350,cors_20260818113354.xls
WSSN,35.5454203900,129.1189628000,131.2063,cors_20260818113354.xls
WSJG,35.5656809300,129.3170501800,100.6312,cors_20260818113354.xls
WULJ,36.9919765300,129.4129955300,80.7410,cors_20260818113354.xls
WNJU,37.3372070800,127.9470885300,180.2060,cors_20260818113354.xls
OJBU,37.7548718600,127.1066657900,97.2520,cors_20260818113354.xls
INJE,37.4198577200,126.6864389700,88.4640,cors_20260818113354.xls
INCH,37.4198577200,126.6864389700,88.4640,cors_20260818113354.xls
ICOR,37.4197903300,126.6438408100,52.7050,cors_20260818113354.xls
JANS,35.6416303800,127.5222317900,467.4410,cors_20260818113354.xls
JUNG,35.6227662200,126.9740284700,141.3870,cors_20260818113354.xls
CHJU,33.5139264400,126.5298200300,50.3370,cors_20260818113354.xls
JJHG,33.3697558600,126.2063936100,37.0992,cors_20260818113354.xls
JECH,36.9097723400,128.1659182600,316.7288,cors_20260818113354.xls
JIND,34.4719939700,126.3237318900,503.4150,cors_20260818113354.xls
JINJ,35.1730871400,128.0496744700,122.0010,cors_20260818113354.xls
JJNG,35.1637015800,128.0398740600,60.9781,cors_20260818113354.xls
CHNG,35.5333112500,128.4780603900,61.7530,cors_20260818113354.xls
CHWN,35.2361209200,128.6929946400,88.3460,cors_20260818113354.xls
CHEN,36.8780086700,127.1552526700,69.5450,cors_20260818113354.xls
CHUL,38.2732681900,127.1452119200,289.0320,cors_20260818113354.xls
CHLW,38.1644825300,127.4152443300,308.7780,cors_20260818113354.xls
CHSG,36.4356283300,129.0563459700,250.0310,cors_20260818113354.xls
CHYG,36.4589019400,126.8014951400,136.4740,cors_20260818113354.xls
CNJU,36.6268945600,127.4612270600,93.4880,cors_20260818113354.xls
CJDO,33.9451217800,126.3184561900,50.8146,cors_20260818113354.xls
CHCN,37.8694528900,127.7107683300,140.9100,cors_20260818113354.xls
CCSB,37.9475699200,127.7549264700,122.4487,cors_20260818113354.xls
TABK,37.1636459200,128.9860785600,736.1920,cors_20260818113354.xls
PAJU,37.7464064700,126.7378980300,73.5110,cors_20260818113354.xls
PJMS,37.8860408900,126.7662137400,56.5601,cors_20260818113354.xls
POCN,38.0185818100,127.1909702400,88.4939,cors_20260818113354.xls
HADG,35.1624163300,127.7092348100,76.5920,cors_20260818113354.xls
HONC,37.7091608900,128.1943249700,372.1840,cors_20260818113354.xls
